Value,2017 % total budget
Importance of natural scenery and environment in defining New Zealand,1.084671616
Importance of agriculture and farming in defining New Zealand,0.348805923
Importance of New Zealand's history in defining New Zealand,0.081447637
Importance of New Zealand symbols and icons in defining New Zealand,0.009242686
Importance of sports and sporting achievements in defining New Zealand,0.013894476
Importance of art and artistic achievements in defining New Zealand,0
Importance of multiculturalism and ethnic diversity in defining New Zealand,0
Importance of Maori culture and cultural practices in defining New Zealand,0.039521726
Importance of the people in New Zealand in defining New Zealand,0.309450566
"Importance of freedom, rights and peace in defining New Zealand",35.37391036
all non-value aligned government expenditure,63
